物料编码,物料全称,物料简称,上级物料编码,级别,是否为叶子结点,排序号
0501080060041159,吉拉索原油,吉拉索,0501080060000147,5,TRUE,680
0501080060072083,罕戈原油,罕戈,0501080060000147,5,TRUE,685
0501080060079353,凯撒杰原油,凯撒杰,0501080060000147,5,TRUE,690
0501080060151542,达连原油,达连,0501080060000147,5,TRUE,695
0501080060158858,普鲁托尼原油,普鲁托尼,0501080060000147,5,TRUE,700
0501080060161223,芒都原油,芒都,0501080060000147,5,TRUE,705
0501080060166356,萨西原油,萨西,0501080060000147,5,TRUE,710
0501080060193536,帕兹弗洛原油,帕兹弗洛,0501080060000147,5,TRUE,715
0501080060201831,萨图诺原油,萨图诺,0501080060000147,5,TRUE,720
0501080060000156,尼日利亚原油,尼日利亚,0501000099000015,4,FALSE,725
0501080060000161,卡伊博原油,卡伊博,0501080060000156,5,TRUE,730
0501080060000162,奥都都原油,奥都都,0501080060000156,5,TRUE,735
0501080060080163,班戈原油,班戈,0501080060000156,5,TRUE,740
0501080060172729,阿科坡原油,阿科坡,0501080060000156,5,TRUE,745
0501080060000166,加蓬原油,加蓬,0501000099000015,5,FALSE,750
0501080060000167,曼吉原油,曼吉,0501080060000166,5,TRUE,755
0501080060000168,拉比原油,拉比,0501080060000166,5,TRUE,760
0501080060197554,埃塔姆原油,埃塔姆,0501080060000166,5,TRUE,765
0501080060000169,喀麦隆原油,喀麦隆,0501000099000015,4,FALSE,770
